disease	category	color	DiseaseName
E27	Endocrine, nutritional and metabolic	#FBAF5F	Other disorders of adrenal gland
E28	Endocrine, nutritional and metabolic	#FBAF5F	Ovarian dysfunction
E29	Endocrine, nutritional and metabolic	#FBAF5F	Testicular dysfunction
E30	Endocrine, nutritional and metabolic	#FBAF5F	Disorders of puberty, not elsewhere classified
E31	Endocrine, nutritional and metabolic	#FBAF5F	Polyglandular dysfunction
E32	Endocrine, nutritional and metabolic	#FBAF5F	Diseases of thymus
E33	Endocrine, nutritional and metabolic	#FBAF5F	NA
E34	Endocrine, nutritional and metabolic	#FBAF5F	Other endocrine disorders
E35	Endocrine, nutritional and metabolic	#FBAF5F	Disorders of endocrine glands in diseases classd elswhr
E36	Endocrine, nutritional and metabolic	#FBAF5F	Intraoperative complications of endocrine system
E37	Endocrine, nutritional and metabolic	#FBAF5F	NA
E38	Endocrine, nutritional and metabolic	#FBAF5F	NA
E39	Endocrine, nutritional and metabolic	#FBAF5F	NA
E40	Endocrine, nutritional and metabolic	#FBAF5F	Kwashiorkor
E41	Endocrine, nutritional and metabolic	#FBAF5F	Nutritional marasmus
E42	Endocrine, nutritional and metabolic	#FBAF5F	Marasmic kwashiorkor
E43	Endocrine, nutritional and metabolic	#FBAF5F	Unspecified severe protein-calorie malnutrition
E44	Endocrine, nutritional and metabolic	#FBAF5F	Protein-calorie malnutrition of moderate and mild degree
E45	Endocrine, nutritional and metabolic	#FBAF5F	Retarded development following protein-calorie malnutrition
E46	Endocrine, nutritional and metabolic	#FBAF5F	Unspecified protein-calorie malnutrition
E47	Endocrine, nutritional and metabolic	#FBAF5F	NA
E48	Endocrine, nutritional and metabolic	#FBAF5F	NA
E49	Endocrine, nutritional and metabolic	#FBAF5F	NA
E50	Endocrine, nutritional and metabolic	#FBAF5F	Vitamin A deficiency
E51	Endocrine, nutritional and metabolic	#FBAF5F	Thiamine deficiency
E52	Endocrine, nutritional and metabolic	#FBAF5F	Niacin deficiency [pellagra]
E53	Endocrine, nutritional and metabolic	#FBAF5F	Deficiency of other B group vitamins
E54	Endocrine, nutritional and metabolic	#FBAF5F	Ascorbic acid deficiency
E55	Endocrine, nutritional and metabolic	#FBAF5F	Vitamin D deficiency
E56	Endocrine, nutritional and metabolic	#FBAF5F	Other vitamin deficiencies
E57	Endocrine, nutritional and metabolic	#FBAF5F	NA
E58	Endocrine, nutritional and metabolic	#FBAF5F	Dietary calcium deficiency
E59	Endocrine, nutritional and metabolic	#FBAF5F	Dietary selenium deficiency
E60	Endocrine, nutritional and metabolic	#FBAF5F	Dietary zinc deficiency
E61	Endocrine, nutritional and metabolic	#FBAF5F	Deficiency of other nutrient elements
E62	Endocrine, nutritional and metabolic	#FBAF5F	NA
E63	Endocrine, nutritional and metabolic	#FBAF5F	Other nutritional deficiencies
E64	Endocrine, nutritional and metabolic	#FBAF5F	Sequelae of malnutrition and other nutritional deficiencies
E65	Endocrine, nutritional and metabolic	#FBAF5F	Localized adiposity
E66	Endocrine, nutritional and metabolic	#FBAF5F	Overweight and obesity
E67	Endocrine, nutritional and metabolic	#FBAF5F	Other hyperalimentation
E68	Endocrine, nutritional and metabolic	#FBAF5F	Sequelae of hyperalimentation
E69	Endocrine, nutritional and metabolic	#FBAF5F	NA
E70	Endocrine, nutritional and metabolic	#FBAF5F	Disorders of aromatic amino-acid metabolism
E71	Endocrine, nutritional and metabolic	#FBAF5F	Disord of branched-chain amino-acid metab & fatty-acid metab Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism
E72	Endocrine, nutritional and metabolic	#FBAF5F	Other disorders of amino-acid metabolism
E73	Endocrine, nutritional and metabolic	#FBAF5F	Lactose intolerance
E74	Endocrine, nutritional and metabolic	#FBAF5F	Other disorders of carbohydrate metabolism
E75	Endocrine, nutritional and metabolic	#FBAF5F	Disord of sphingolipid metab and oth lipid storage disorders Disorders of sphingolipid metabolism and other lipid storage disorders
E76	Endocrine, nutritional and metabolic	#FBAF5F	Disorders of glycosaminoglycan metabolism
E77	Endocrine, nutritional and metabolic	#FBAF5F	Disorders of glycoprotein metabolism
E78	Endocrine, nutritional and metabolic	#FBAF5F	Disorders of lipoprotein metabolism and other lipidemias
E79	Endocrine, nutritional and metabolic	#FBAF5F	Disorders of purine and pyrimidine metabolism
E80	Endocrine, nutritional and metabolic	#FBAF5F	Disorders of porphyrin and bilirubin metabolism
E81	Endocrine, nutritional and metabolic	#FBAF5F	NA
E82	Endocrine, nutritional and metabolic	#FBAF5F	NA
E83	Endocrine, nutritional and metabolic	#FBAF5F	Disorders of mineral metabolism
E84	Endocrine, nutritional and metabolic	#FBAF5F	Cystic fibrosis
E85	Endocrine, nutritional and metabolic	#FBAF5F	Amyloidosis
E86	Endocrine, nutritional and metabolic	#FBAF5F	Volume depletion
E87	Endocrine, nutritional and metabolic	#FBAF5F	Other disorders of fluid, electrolyte and acid-base balance
E88	Endocrine, nutritional and metabolic	#FBAF5F	Other and unspecified metabolic disorders
E89	Endocrine, nutritional and metabolic	#FBAF5F	Postproc endocrine and metabolic comp and disorders, NEC
E90	Endocrine, nutritional and metabolic	#FBAF5F	NA
E91	Endocrine, nutritional and metabolic	#FBAF5F	NA
E92	Endocrine, nutritional and metabolic	#FBAF5F	NA
E93	Endocrine, nutritional and metabolic	#FBAF5F	NA
E94	Endocrine, nutritional and metabolic	#FBAF5F	NA
E95	Endocrine, nutritional and metabolic	#FBAF5F	NA
E96	Endocrine, nutritional and metabolic	#FBAF5F	NA
E97	Endocrine, nutritional and metabolic	#FBAF5F	NA
E98	Endocrine, nutritional and metabolic	#FBAF5F	NA
E99	Endocrine, nutritional and metabolic	#FBAF5F	NA
F00	Mental and behavioural	#FACF63	NA
F01	Mental and behavioural	#FACF63	Vascular dementia
F02	Mental and behavioural	#FACF63	Dementia in other diseases classified elsewhere
F03	Mental and behavioural	#FACF63	Unspecified dementia
F04	Mental and behavioural	#FACF63	Amnestic disorder due to known physiological condition
F05	Mental and behavioural	#FACF63	Delirium due to known physiological condition
F06	Mental and behavioural	#FACF63	Other mental disorders due to known physiological condition
F07	Mental and behavioural	#FACF63	Personality & behavrl disorders due to known physiol cond
F08	Mental and behavioural	#FACF63	NA
F09	Mental and behavioural	#FACF63	Unsp mental disorder due to known physiological condition
F10	Mental and behavioural	#FACF63	Alcohol related disorders
F11	Mental and behavioural	#FACF63	Opioid related disorders
F12	Mental and behavioural	#FACF63	Cannabis related disorders
F13	Mental and behavioural	#FACF63	Sedative, hypnotic, or anxiolytic related disorders
F14	Mental and behavioural	#FACF63	Cocaine related disorders
F15	Mental and behavioural	#FACF63	Other stimulant related disorders
F16	Mental and behavioural	#FACF63	Hallucinogen related disorders
F17	Mental and behavioural	#FACF63	Nicotine dependence
F18	Mental and behavioural	#FACF63	Inhalant related disorders
F19	Mental and behavioural	#FACF63	Other psychoactive substance related disorders
F20	Mental and behavioural	#FACF63	Schizophrenia
F21	Mental and behavioural	#FACF63	Schizotypal disorder
F22	Mental and behavioural	#FACF63	Delusional disorders
F23	Mental and behavioural	#FACF63	Brief psychotic disorder
F24	Mental and behavioural	#FACF63	Shared psychotic disorder
F25	Mental and behavioural	#FACF63	Schizoaffective disorders
F26	Mental and behavioural	#FACF63	NA
F27	Mental and behavioural	#FACF63	NA
F28	Mental and behavioural	#FACF63	Oth psych disorder not due to a sub or known physiol cond
F29	Mental and behavioural	#FACF63	Unsp psychosis not due to a substance or known physiol cond
F30	Mental and behavioural	#FACF63	Manic episode
F31	Mental and behavioural	#FACF63	Bipolar disorder
F32	Mental and behavioural	#FACF63	Major depressive disorder, single episode
F33	Mental and behavioural	#FACF63	Major depressive disorder, recurrent
F34	Mental and behavioural	#FACF63	Persistent mood [affective] disorders
F35	Mental and behavioural	#FACF63	NA
F36	Mental and behavioural	#FACF63	NA
F37	Mental and behavioural	#FACF63	NA
F38	Mental and behavioural	#FACF63	NA
F39	Mental and behavioural	#FACF63	Unspecified mood [affective] disorder
F40	Mental and behavioural	#FACF63	Phobic anxiety disorders
F41	Mental and behavioural	#FACF63	Other anxiety disorders
F42	Mental and behavioural	#FACF63	Obsessive-compulsive disorder
F43	Mental and behavioural	#FACF63	Reaction to severe stress, and adjustment disorders
F44	Mental and behavioural	#FACF63	Dissociative and conversion disorders
F45	Mental and behavioural	#FACF63	Somatoform disorders
F46	Mental and behavioural	#FACF63	NA
F47	Mental and behavioural	#FACF63	NA
F48	Mental and behavioural	#FACF63	Other nonpsychotic mental disorders
F49	Mental and behavioural	#FACF63	NA
F50	Mental and behavioural	#FACF63	Eating disorders
F51	Mental and behavioural	#FACF63	Sleep disorders not due to a substance or known physiol cond Sleep disorders not due to a substance or known physiological condition
F52	Mental and behavioural	#FACF63	Sexual dysfnct not due to a substance or known physiol cond
F53	Mental and behavioural	#FACF63	Mental and behavrl disorders assoc with the puerperium, NEC
F54	Mental and behavioural	#FACF63	Psych & behavrl factors assoc w disord or dis classd elswhr
F55	Mental and behavioural	#FACF63	Abuse of non-psychoactive substances
F56	Mental and behavioural	#FACF63	NA
F57	Mental and behavioural	#FACF63	NA
F58	Mental and behavioural	#FACF63	NA
F59	Mental and behavioural	#FACF63	Unsp behavrl synd assoc w physiol disturb and physcl factors Unspecified behavioral syndromes associated with physiological disturbances and physical factors
F60	Mental and behavioural	#FACF63	Specific personality disorders
F61	Mental and behavioural	#FACF63	NA
F62	Mental and behavioural	#FACF63	NA
F63	Mental and behavioural	#FACF63	Impulse disorders
F64	Mental and behavioural	#FACF63	Gender identity disorders
F65	Mental and behavioural	#FACF63	Paraphilias
F66	Mental and behavioural	#FACF63	Other sexual disorders
F67	Mental and behavioural	#FACF63	NA
F68	Mental and behavioural	#FACF63	Other disorders of adult personality and behavior
F69	Mental and behavioural	#FACF63	Unspecified disorder of adult personality and behavior
F70	Mental and behavioural	#FACF63	Mild intellectual disabilities
F71	Mental and behavioural	#FACF63	Moderate intellectual disabilities
F72	Mental and behavioural	#FACF63	Severe intellectual disabilities
F73	Mental and behavioural	#FACF63	Profound intellectual disabilities
F74	Mental and behavioural	#FACF63	NA
F75	Mental and behavioural	#FACF63	NA
F76	Mental and behavioural	#FACF63	NA
F77	Mental and behavioural	#FACF63	NA
F78	Mental and behavioural	#FACF63	Other intellectual disabilities
F79	Mental and behavioural	#FACF63	Unspecified intellectual disabilities
F80	Mental and behavioural	#FACF63	Specific developmental disorders of speech and language
F81	Mental and behavioural	#FACF63	Specific developmental disorders of scholastic skills
F82	Mental and behavioural	#FACF63	Specific developmental disorder of motor function
F83	Mental and behavioural	#FACF63	NA
F84	Mental and behavioural	#FACF63	Pervasive developmental disorders
F85	Mental and behavioural	#FACF63	NA
F86	Mental and behavioural	#FACF63	NA
F87	Mental and behavioural	#FACF63	NA
F88	Mental and behavioural	#FACF63	Other disorders of psychological development
F89	Mental and behavioural	#FACF63	Unspecified disorder of psychological development
F90	Mental and behavioural	#FACF63	Attention-deficit hyperactivity disorders
F91	Mental and behavioural	#FACF63	Conduct disorders
F92	Mental and behavioural	#FACF63	NA
F93	Mental and behavioural	#FACF63	Emotional disorders with onset specific to childhood
F94	Mental and behavioural	#FACF63	Disord social w onset specific to childhood and adolescence
F95	Mental and behavioural	#FACF63	Tic disorder
F96	Mental and behavioural	#FACF63	NA
F97	Mental and behavioural	#FACF63	NA
F98	Mental and behavioural	#FACF63	Oth behav/emotn disord w onset usly occur in chldhd and adol Other behavioral and emotional disorders with onset usually occurring in childhood and adolescence
F99	Mental and behavioural	#FACF63	Mental disorder, not otherwise specified
G00	Nervous system	#FFEF6C	Bacterial meningitis, not elsewhere classified
G01	Nervous system	#FFEF6C	Meningitis in bacterial diseases classified elsewhere
G02	Nervous system	#FFEF6C	Meningitis in oth infec/parastc diseases classd elswhr
G03	Nervous system	#FFEF6C	Meningitis due to other and unspecified causes
G04	Nervous system	#FFEF6C	Encephalitis, myelitis and encephalomyelitis
G05	Nervous system	#FFEF6C	Encphlts, myelitis & encephalomyelitis in dis classd elswhr
G06	Nervous system	#FFEF6C	Intracranial and intraspinal abscess and granuloma
G07	Nervous system	#FFEF6C	Intcrn & intraspinal abscs & granuloma in dis classd elswhr
G08	Nervous system	#FFEF6C	Intracranial and intraspinal phlebitis and thrombophlebitis
G09	Nervous system	#FFEF6C	Sequelae of inflammatory diseases of central nervous system
G10	Nervous system	#FFEF6C	Huntington's disease
G11	Nervous system	#FFEF6C	Hereditary ataxia
G12	Nervous system	#FFEF6C	Spinal muscular atrophy and related syndromes
G13	Nervous system	#FFEF6C	Systemic atrophies aff cnsl in diseases classd elswhr
G14	Nervous system	#FFEF6C	Postpolio syndrome
G15	Nervous system	#FFEF6C	NA
G16	Nervous system	#FFEF6C	NA
G17	Nervous system	#FFEF6C	NA
G18	Nervous system	#FFEF6C	NA
G19	Nervous system	#FFEF6C	NA
G20	Nervous system	#FFEF6C	Parkinson's disease
G21	Nervous system	#FFEF6C	Secondary parkinsonism
G22	Nervous system	#FFEF6C	NA
G23	Nervous system	#FFEF6C	Other degenerative diseases of basal ganglia
G24	Nervous system	#FFEF6C	Dystonia
G25	Nervous system	#FFEF6C	Other extrapyramidal and movement disorders
G26	Nervous system	#FFEF6C	Extrapyramidal and movement disord in diseases classd elswhr Extrapyramidal and movement disorders in diseases classified elsewhere
G27	Nervous system	#FFEF6C	NA
G28	Nervous system	#FFEF6C	NA
G29	Nervous system	#FFEF6C	NA
G30	Nervous system	#FFEF6C	Alzheimer's disease
G31	Nervous system	#FFEF6C	Oth degenerative diseases of nervous system, NEC
G32	Nervous system	#FFEF6C	Oth degeneratv disord of nervous sys in dis classd elswhr
G33	Nervous system	#FFEF6C	NA
G34	Nervous system	#FFEF6C	NA
G35	Nervous system	#FFEF6C	Multiple sclerosis
G36	Nervous system	#FFEF6C	Other acute disseminated demyelination
G37	Nervous system	#FFEF6C	Other demyelinating diseases of central nervous system
G38	Nervous system	#FFEF6C	NA
G39	Nervous system	#FFEF6C	NA
G40	Nervous system	#FFEF6C	Epilepsy and recurrent seizures
G41	Nervous system	#FFEF6C	NA
G42	Nervous system	#FFEF6C	NA
G43	Nervous system	#FFEF6C	Migraine
G44	Nervous system	#FFEF6C	Other headache syndromes
G45	Nervous system	#FFEF6C	Transient cerebral ischemic attacks and related syndromes
G46	Nervous system	#FFEF6C	Vascular syndromes of brain in cerebrovascular diseases
G47	Nervous system	#FFEF6C	Sleep disorders
G48	Nervous system	#FFEF6C	NA
G49	Nervous system	#FFEF6C	NA
G50	Nervous system	#FFEF6C	Disorders of trigeminal nerve
G51	Nervous system	#FFEF6C	Facial nerve disorders
G52	Nervous system	#FFEF6C	Disorders of other cranial nerves
G53	Nervous system	#FFEF6C	Cranial nerve disorders in diseases classified elsewhere
G54	Nervous system	#FFEF6C	Nerve root and plexus disorders
G55	Nervous system	#FFEF6C	Nerve root and plexus compressions in diseases classd elswhr Nerve root and plexus compressions in diseases classified elsewhere
G56	Nervous system	#FFEF6C	Mononeuropathies of upper limb
G57	Nervous system	#FFEF6C	Mononeuropathies of lower limb
G58	Nervous system	#FFEF6C	Other mononeuropathies
G59	Nervous system	#FFEF6C	Mononeuropathy in diseases classified elsewhere
G60	Nervous system	#FFEF6C	Hereditary and idiopathic neuropathy
G61	Nervous system	#FFEF6C	Inflammatory polyneuropathy
G62	Nervous system	#FFEF6C	Other and unspecified polyneuropathies
G63	Nervous system	#FFEF6C	Polyneuropathy in diseases classified elsewhere
G64	Nervous system	#FFEF6C	Other disorders of peripheral nervous system
G65	Nervous system	#FFEF6C	Sequelae of inflammatory and toxic polyneuropathies
G66	Nervous system	#FFEF6C	NA
G67	Nervous system	#FFEF6C	NA
G68	Nervous system	#FFEF6C	NA
G69	Nervous system	#FFEF6C	NA
G70	Nervous system	#FFEF6C	Myasthenia gravis and other myoneural disorders
G71	Nervous system	#FFEF6C	Primary disorders of muscles
G72	Nervous system	#FFEF6C	Other and unspecified myopathies
G73	Nervous system	#FFEF6C	Disord of myoneural junction and muscle in dis classd elswhr Disorders of myoneural junction and muscle in diseases classified elsewhere
G74	Nervous system	#FFEF6C	NA
G75	Nervous system	#FFEF6C	NA
G76	Nervous system	#FFEF6C	NA
G77	Nervous system	#FFEF6C	NA
G78	Nervous system	#FFEF6C	NA
G79	Nervous system	#FFEF6C	NA
G80	Nervous system	#FFEF6C	Cerebral palsy
G81	Nervous system	#FFEF6C	Hemiplegia and hemiparesis
G82	Nervous system	#FFEF6C	Paraplegia (paraparesis) and quadriplegia (quadriparesis)
G83	Nervous system	#FFEF6C	Other paralytic syndromes
G84	Nervous system	#FFEF6C	NA
G85	Nervous system	#FFEF6C	NA
G86	Nervous system	#FFEF6C	NA
G87	Nervous system	#FFEF6C	NA
G88	Nervous system	#FFEF6C	NA
G89	Nervous system	#FFEF6C	Pain, not elsewhere classified
G90	Nervous system	#FFEF6C	Disorders of autonomic nervous system
G91	Nervous system	#FFEF6C	Hydrocephalus
G92	Nervous system	#FFEF6C	Toxic encephalopathy
G93	Nervous system	#FFEF6C	Other disorders of brain
G94	Nervous system	#FFEF6C	Other disorders of brain in diseases classified elsewhere
G95	Nervous system	#FFEF6C	Other and unspecified diseases of spinal cord
G96	Nervous system	#FFEF6C	Other disorders of central nervous system
G97	Nervous system	#FFEF6C	Intraop and postproc comp and disorders of nervous sys, NEC
G98	Nervous system	#FFEF6C	Other disorders of nervous system not elsewhere classified
G99	Nervous system	#FFEF6C	Oth disorders of nervous system in diseases classd elswhr
H00	Eye and adnexa	#CED75C	Hordeolum and chalazion
H01	Eye and adnexa	#CED75C	Other inflammation of eyelid
H02	Eye and adnexa	#CED75C	Other disorders of eyelid
H03	Eye and adnexa	#CED75C	NA
H04	Eye and adnexa	#CED75C	Disorders of lacrimal system
H05	Eye and adnexa	#CED75C	Disorders of orbit
H06	Eye and adnexa	#CED75C	NA
H07	Eye and adnexa	#CED75C	NA
H08	Eye and adnexa	#CED75C	NA
H09	Eye and adnexa	#CED75C	NA
H10	Eye and adnexa	#CED75C	Conjunctivitis
H11	Eye and adnexa	#CED75C	Other disorders of conjunctiva
H12	Eye and adnexa	#CED75C	NA
H13	Eye and adnexa	#CED75C	NA
H14	Eye and adnexa	#CED75C	NA
H15	Eye and adnexa	#CED75C	Disorders of sclera
H16	Eye and adnexa	#CED75C	Keratitis
H17	Eye and adnexa	#CED75C	Corneal scars and opacities
H18	Eye and adnexa	#CED75C	Other disorders of cornea
H19	Eye and adnexa	#CED75C	NA
H20	Eye and adnexa	#CED75C	Iridocyclitis
H21	Eye and adnexa	#CED75C	Other disorders of iris and ciliary body
H22	Eye and adnexa	#CED75C	Disorders of iris and ciliary body in diseases classd elswhr Disorders of iris and ciliary body in diseases classified elsewhere
H23	Eye and adnexa	#CED75C	NA
H24	Eye and adnexa	#CED75C	NA
H25	Eye and adnexa	#CED75C	Age-related cataract
H26	Eye and adnexa	#CED75C	Other cataract
H27	Eye and adnexa	#CED75C	Other disorders of lens
H28	Eye and adnexa	#CED75C	Cataract in diseases classified elsewhere
H29	Eye and adnexa	#CED75C	NA
H30	Eye and adnexa	#CED75C	Chorioretinal inflammation
H31	Eye and adnexa	#CED75C	Other disorders of choroid
H32	Eye and adnexa	#CED75C	Chorioretinal disorders in diseases classified elsewhere
H33	Eye and adnexa	#CED75C	Retinal detachments and breaks
H34	Eye and adnexa	#CED75C	Retinal vascular occlusions
H35	Eye and adnexa	#CED75C	Other retinal disorders
H36	Eye and adnexa	#CED75C	Retinal disorders in diseases classified elsewhere
H37	Eye and adnexa	#CED75C	NA
H38	Eye and adnexa	#CED75C	NA
H39	Eye and adnexa	#CED75C	NA
H40	Eye and adnexa	#CED75C	Glaucoma
H41	Eye and adnexa	#CED75C	NA
H42	Eye and adnexa	#CED75C	Glaucoma in diseases classified elsewhere
H43	Eye and adnexa	#CED75C	Disorders of vitreous body
H44	Eye and adnexa	#CED75C	Disorders of globe
H45	Eye and adnexa	#CED75C	NA
H46	Eye and adnexa	#CED75C	Optic neuritis
H47	Eye and adnexa	#CED75C	Other disorders of optic [2nd] nerve and visual pathways
H48	Eye and adnexa	#CED75C	NA
H49	Eye and adnexa	#CED75C	Paralytic strabismus
H50	Eye and adnexa	#CED75C	Other strabismus
H51	Eye and adnexa	#CED75C	Other disorders of binocular movement
H52	Eye and adnexa	#CED75C	Disorders of refraction and accommodation
H53	Eye and adnexa	#CED75C	Visual disturbances
H54	Eye and adnexa	#CED75C	Blindness and low vision
H55	Eye and adnexa	#CED75C	Nystagmus and other irregular eye movements
H56	Eye and adnexa	#CED75C	NA
H57	Eye and adnexa	#CED75C	Other disorders of eye and adnexa
H58	Eye and adnexa	#CED75C	NA
H59	Eye and adnexa	#CED75C	Intraop and postproc comp and disord of eye and adnexa, NEC
H60	Ear and mastoid process	#D2EFDB	Otitis externa
H61	Ear and mastoid process	#D2EFDB	Other disorders of external ear
H62	Ear and mastoid process	#D2EFDB	Disorders of external ear in diseases classified elsewhere
H63	Ear and mastoid process	#D2EFDB	NA
H64	Ear and mastoid process	#D2EFDB	NA
H65	Ear and mastoid process	#D2EFDB	Nonsuppurative otitis media
H66	Ear and mastoid process	#D2EFDB	Suppurative and unspecified otitis media
H67	Ear and mastoid process	#D2EFDB	Otitis media in diseases classified elsewhere
H68	Ear and mastoid process	#D2EFDB	Eustachian salpingitis and obstruction
H69	Ear and mastoid process	#D2EFDB	Other and unspecified disorders of Eustachian tube
H70	Ear and mastoid process	#D2EFDB	Mastoiditis and related conditions
H71	Ear and mastoid process	#D2EFDB	Cholesteatoma of middle ear
H72	Ear and mastoid process	#D2EFDB	Perforation of tympanic membrane
H73	Ear and mastoid process	#D2EFDB	Other disorders of tympanic membrane
H74	Ear and mastoid process	#D2EFDB	Other disorders of middle ear mastoid
H75	Ear and mastoid process	#D2EFDB	Oth disord of mid ear and mastoid in diseases classd elswhr
H76	Ear and mastoid process	#D2EFDB	NA
H77	Ear and mastoid process	#D2EFDB	NA
H78	Ear and mastoid process	#D2EFDB	NA
H79	Ear and mastoid process	#D2EFDB	NA
H80	Ear and mastoid process	#D2EFDB	Otosclerosis
H81	Ear and mastoid process	#D2EFDB	Disorders of vestibular function
H82	Ear and mastoid process	#D2EFDB	Vertiginous syndromes in diseases classified elsewhere
H83	Ear and mastoid process	#D2EFDB	Other diseases of inner ear
H84	Ear and mastoid process	#D2EFDB	NA
H85	Ear and mastoid process	#D2EFDB	NA
H86	Ear and mastoid process	#D2EFDB	NA
H87	Ear and mastoid process	#D2EFDB	NA
H88	Ear and mastoid process	#D2EFDB	NA
H89	Ear and mastoid process	#D2EFDB	NA
H90	Ear and mastoid process	#D2EFDB	Conductive and sensorineural hearing loss
H91	Ear and mastoid process	#D2EFDB	Other and unspecified hearing loss
H92	Ear and mastoid process	#D2EFDB	Otalgia and effusion of ear
H93	Ear and mastoid process	#D2EFDB	Other disorders of ear, not elsewhere classified
H94	Ear and mastoid process	#D2EFDB	Other disorders of ear in diseases classified elsewhere
H95	Ear and mastoid process	#D2EFDB	Intraop and postproc comp and disorders of ear/mastd, NEC
I00	Circulatory system	#A1CE5E	Rheumatic fever without heart involvement
I01	Circulatory system	#A1CE5E	Rheumatic fever with heart involvement
I02	Circulatory system	#A1CE5E	Rheumatic chorea
I03	Circulatory system	#A1CE5E	NA
I04	Circulatory system	#A1CE5E	NA
I05	Circulatory system	#A1CE5E	Rheumatic mitral valve diseases
I06	Circulatory system	#A1CE5E	Rheumatic aortic valve diseases
I07	Circulatory system	#A1CE5E	Rheumatic tricuspid valve diseases
I08	Circulatory system	#A1CE5E	Multiple valve diseases
I09	Circulatory system	#A1CE5E	Other rheumatic heart diseases
I10	Circulatory system	#A1CE5E	Essential (primary) hypertension
I11	Circulatory system	#A1CE5E	Hypertensive heart disease
I12	Circulatory system	#A1CE5E	Hypertensive chronic kidney disease
I13	Circulatory system	#A1CE5E	Hypertensive heart and chronic kidney disease
I14	Circulatory system	#A1CE5E	NA
I15	Circulatory system	#A1CE5E	Secondary hypertension
I16	Circulatory system	#A1CE5E	Hypertensive crisis
I17	Circulatory system	#A1CE5E	NA
I18	Circulatory system	#A1CE5E	NA
I19	Circulatory system	#A1CE5E	NA
I20	Circulatory system	#A1CE5E	Angina pectoris
I21	Circulatory system	#A1CE5E	Acute myocardial infarction
I22	Circulatory system	#A1CE5E	Subsequent STEMI & NSTEMI mocard infrc
I23	Circulatory system	#A1CE5E	Certain crnt comp fol STEMI & NSTEMI mocard infrc <= 28 day
I24	Circulatory system	#A1CE5E	Other acute ischemic heart diseases
I25	Circulatory system	#A1CE5E	Chronic ischemic heart disease
I26	Circulatory system	#A1CE5E	Pulmonary embolism
I27	Circulatory system	#A1CE5E	Other pulmonary heart diseases
I28	Circulatory system	#A1CE5E	Other diseases of pulmonary vessels
I29	Circulatory system	#A1CE5E	NA
I30	Circulatory system	#A1CE5E	Acute pericarditis
I31	Circulatory system	#A1CE5E	Other diseases of pericardium
I32	Circulatory system	#A1CE5E	Pericarditis in diseases classified elsewhere
I33	Circulatory system	#A1CE5E	Acute and subacute endocarditis
I34	Circulatory system	#A1CE5E	Nonrheumatic mitral valve disorders
I35	Circulatory system	#A1CE5E	Nonrheumatic aortic valve disorders
I36	Circulatory system	#A1CE5E	Nonrheumatic tricuspid valve disorders
I37	Circulatory system	#A1CE5E	Nonrheumatic pulmonary valve disorders
I38	Circulatory system	#A1CE5E	Endocarditis, valve unspecified
I39	Circulatory system	#A1CE5E	Endocarditis and heart valve disord in dis classd elswhr
I40	Circulatory system	#A1CE5E	Acute myocarditis
I41	Circulatory system	#A1CE5E	Myocarditis in diseases classified elsewhere
I42	Circulatory system	#A1CE5E	Cardiomyopathy
I43	Circulatory system	#A1CE5E	Cardiomyopathy in diseases classified elsewhere
I44	Circulatory system	#A1CE5E	Atrioventricular and left bundle-branch block
I45	Circulatory system	#A1CE5E	Other conduction disorders
I46	Circulatory system	#A1CE5E	Cardiac arrest
I47	Circulatory system	#A1CE5E	Paroxysmal tachycardia
I48	Circulatory system	#A1CE5E	Atrial fibrillation and flutter
I49	Circulatory system	#A1CE5E	Other cardiac arrhythmias
I50	Circulatory system	#A1CE5E	Heart failure
I51	Circulatory system	#A1CE5E	Complications and ill-defined descriptions of heart disease
I52	Circulatory system	#A1CE5E	Other heart disorders in diseases classified elsewhere
I53	Circulatory system	#A1CE5E	NA
I54	Circulatory system	#A1CE5E	NA
I55	Circulatory system	#A1CE5E	NA
I56	Circulatory system	#A1CE5E	NA
I57	Circulatory system	#A1CE5E	NA
I58	Circulatory system	#A1CE5E	NA
I59	Circulatory system	#A1CE5E	NA
I60	Circulatory system	#A1CE5E	Nontraumatic subarachnoid hemorrhage
I61	Circulatory system	#A1CE5E	Nontraumatic intracerebral hemorrhage
I62	Circulatory system	#A1CE5E	Other and unspecified nontraumatic intracranial hemorrhage
I63	Circulatory system	#A1CE5E	Cerebral infarction
I64	Circulatory system	#A1CE5E	NA
I65	Circulatory system	#A1CE5E	Occls and stenosis of precerb art, not rslt in cereb infrc
I66	Circulatory system	#A1CE5E	Occls and stenosis of cereb art, not rslt in cerebral infrc
I67	Circulatory system	#A1CE5E	Other cerebrovascular diseases
I68	Circulatory system	#A1CE5E	Cerebrovascular disorders in diseases classified elsewhere
I69	Circulatory system	#A1CE5E	Sequelae of cerebrovascular disease
I70	Circulatory system	#A1CE5E	Atherosclerosis
I71	Circulatory system	#A1CE5E	Aortic aneurysm and dissection
I72	Circulatory system	#A1CE5E	Other aneurysm
I73	Circulatory system	#A1CE5E	Other peripheral vascular diseases
I74	Circulatory system	#A1CE5E	Arterial embolism and thrombosis
I75	Circulatory system	#A1CE5E	Atheroembolism
I76	Circulatory system	#A1CE5E	Septic arterial embolism
I77	Circulatory system	#A1CE5E	Other disorders of arteries and arterioles
